county,avgcases,avgdeaths,cases,deaths
Autauga County,2,0,7257,113
Baldwin County,15,0,22027,315
Barbour County,0,0,2346,60
Bibb County,1,0,2693,64
Blount County,4,0,6987,139
Bullock County,0,0,1249,42
Butler County,2,0,2262,71
Calhoun County,7,0,14776,330
Chambers County,1,0,3736,123
Cherokee County,0,0,1874,45
Chilton County,1,0,4481,116
Choctaw County,0,0,624,25
Clarke County,0,0,3533,61
Clay County,0,0,1603,59
Cleburne County,1,0,1542,43
Coffee County,3,0,5673,128
Colbert County,2,0,6431,140
Conecuh County,1,0,1142,30
Coosa County,0,0,1123,29
Covington County,2,0,4296,124
Crenshaw County,3,0,1584,57
Cullman County,5,0,10008,201
Dale County,2,0,4946,117
Dallas County,2,0,3622,159
DeKalb County,7,0,9028,190
Elmore County,2,0,10315,214
Escambia County,2,0,4035,80
Etowah County,7,0,14241,366
Fayette County,1,0,2201,63
Franklin County,1,0,4326,81
Geneva County,1,0,2593,81
Greene County,0,0,937,34
Hale County,1,0,2274,78
Henry County,1,0,1953,44
Houston County,6,0,10840,289
Jackson County,7,0,7040,114
Jefferson County,29,0,81290,1569
Lamar County,1,0,1476,38
Lauderdale County,3,0,9645,251
Lawrence County,1,0,3144,100
Lee County,4,0,16332,177
Limestone County,3,0,10209,158
Lowndes County,0,0,1421,54
Macon County,1,0,1635,52
Madison County,16,0,35846,526
Marengo County,1,0,2509,66
Marion County,3,0,3286,106
Marshall County,4,0,12493,231
Mobile County,30,1,42393,839
Monroe County,2,0,1826,41
Montgomery County,3,0,25124,614
Morgan County,2,0,14666,287
Perry County,0,0,1087,27
Pickens County,0,0,2372,62
Pike County,0,0,3150,78
Randolph County,1,0,1882,44
Russell County,1,0,4560,42
Shelby County,12,0,25725,255
St. Clair County,5,0,10201,250
Sumter County,0,0,1062,32
Talladega County,2,0,8482,185
Tallapoosa County,2,0,4153,155
Tuscaloosa County,6,1,26229,464
Walker County,3,0,7371,282
Washington County,0,0,1706,39
Wilcox County,1,0,1272,31
Winston County,0,0,2838,72
