county,avgcases,avgdeaths,cases,deaths
Aleutians East Borough,0,0,62,0
Aleutians West Census Area,0,0,205,1
"Anchorage, Municipality of",18,0,30595,179
Bethel Census Area,1,0,3909,22
Bristol Bay Borough,0,0,632,3
Denali Borough,0,0,108,0
Dillingham Census Area,0,0,210,2
Fairbanks North Star Borough,-1,0,7920,43
Haines Borough,0,0,24,0
Hoonah–Angoon Census Area,0,0,0,0
"Juneau, City and Borough of",1,0,1363,5
Kenai Peninsula Borough,0,0,4395,21
Ketchikan Gateway Borough,0,0,642,2
Kodiak Island Borough,0,0,1062,6
Kusilvak Census Area,5,0,1403,4
Lake and Peninsula Borough,0,0,127,0
Matanuska-Susitna Borough,2,0,11784,60
Nome Census Area,2,0,399,0
North Slope Borough,0,0,1005,4
Northwest Arctic Borough,0,0,599,2
Petersburg Borough,0,0,167,1
Prince of Wales – Hyder Census Area,0,0,181,2
"Sitka, City and Borough of",0,0,351,2
"Skagway, Municipality of",0,0,22,0
Southeast Fairbanks Census Area,0,0,704,5
Valdez–Cordova Census Area,0,0,0,0
"Wrangell, City and Borough of",0,0,58,0
"Yakutat, City and Borough of",0,0,73,2
Yukon–Koyukuk Census Area,0,0,367,4
