county,avgcases,avgdeaths,cases,deaths
Arkansas County,4,0,2228,38
Ashley County,1,0,2062,35
Baxter County,19,0,3483,104
Benton County,24,0,29924,423
Boone County,10,0,4079,80
Bradley County,2,0,1466,33
Calhoun County,0,0,423,3
Carroll County,7,0,2907,46
Chicot County,0,0,1629,41
Clark County,4,0,2217,41
Clay County,2,0,1809,52
Cleburne County,3,0,2077,74
Cleveland County,2,0,997,25
Columbia County,2,0,2411,57
Conway County,1,0,2266,34
Craighead County,13,0,13839,186
Crawford County,6,0,7255,120
Crittenden County,1,0,6188,97
Cross County,2,0,1993,51
Dallas County,3,0,788,16
Desha County,1,0,1380,23
Drew County,3,0,2075,45
Faulkner County,18,0,13161,166
Franklin County,1,0,1718,40
Fulton County,1,0,1179,47
Garland County,14,0,10578,264
Grant County,4,0,1792,36
Greene County,7,0,6278,78
Hempstead County,1,0,2078,20
Hot Spring County,14,0,5395,77
Howard County,2,0,1686,25
Independence County,10,0,3979,124
Izard County,2,0,1719,42
Jackson County,2,0,3264,38
Jefferson County,17,0,9273,170
Johnson County,1,0,2975,38
Lafayette County,0,0,561,9
Lawrence County,2,0,2162,43
Lee County,0,0,1709,37
Lincoln County,2,0,3257,48
Little River County,0,0,1273,43
Logan County,1,0,2293,25
Lonoke County,16,0,7793,125
Madison County,2,0,1499,23
Marion County,4,0,1139,30
Miller County,1,0,4465,38
Mississippi County,1,0,5925,110
Monroe County,1,0,890,18
Montgomery County,1,0,767,33
Nevada County,2,0,892,24
Newton County,3,0,771,26
Ouachita County,4,0,2451,63
Perry County,4,0,877,11
Phillips County,1,0,1878,44
Pike County,1,0,1044,23
Poinsett County,3,0,3218,77
Polk County,1,0,2042,74
Pope County,3,0,8171,111
Prairie County,0,0,918,22
Pulaski County,85,1,41312,677
Randolph County,1,0,2218,48
Saline County,30,0,12692,173
Scott County,1,0,978,14
Searcy County,3,0,765,18
Sebastian County,11,0,15599,287
Sevier County,2,0,2840,24
Sharp County,3,0,1659,47
St. Francis County,2,0,3654,44
Stone County,3,0,1113,31
Union County,2,0,4131,115
Van Buren County,3,0,1398,24
Washington County,23,0,31669,357
White County,14,0,8407,124
Woodruff County,0,0,654,14
Yell County,1,0,3466,66
