county,avgcases,avgdeaths,cases,deaths
Appling County,2,0,1942,72
Atkinson County,0,0,804,23
Bacon County,1,0,1303,40
Baker County,0,0,164,10
Baldwin County,1,0,3890,135
Banks County,0,0,1668,38
Barrow County,2,0,9000,146
Bartow County,0,0,11391,236
Ben Hill County,0,0,1506,83
Berrien County,1,0,1087,47
Bibb County,7,0,13612,464
Bleckley County,0,0,810,51
Brantley County,0,0,972,41
Brooks County,0,0,962,50
Bryan County,1,0,2847,41
Bulloch County,1,0,5237,121
Burke County,0,0,1820,65
Butts County,1,0,2398,90
Calhoun County,0,0,448,16
Camden County,4,0,3334,39
Candler County,0,0,794,68
Carroll County,1,0,7538,246
Catoosa County,1,0,5902,73
Charlton County,2,0,1297,36
Chatham County,9,0,20719,463
Chattahoochee County,6,0,3860,17
Chattooga County,0,0,2255,76
Cherokee County,7,0,22881,334
Clarke County,1,0,12951,149
Clay County,0,0,186,3
Clayton County,9,0,24669,525
Clinch County,0,0,744,27
Cobb County,23,1,62245,1110
Coffee County,1,0,4279,178
Colquitt County,2,0,3673,129
Columbia County,3,0,11255,213
Cook County,0,0,1181,44
Coweta County,1,0,8898,232
Crawford County,0,0,521,21
Crisp County,0,0,1464,90
Dade County,0,0,1239,14
Dawson County,1,0,2780,50
DeKalb County,12,0,59245,1075
Decatur County,1,0,2180,73
Dodge County,0,0,1091,106
Dooly County,0,0,804,44
Dougherty County,3,0,5694,312
Douglas County,4,0,12330,232
Early County,0,0,1042,47
Echols County,0,0,362,9
Effingham County,1,0,3914,73
Elbert County,0,0,1539,74
Emanuel County,-1,0,1779,83
Evans County,0,0,776,31
Fannin County,1,0,2199,73
Fayette County,1,0,6834,176
Floyd County,1,0,10083,239
Forsyth County,3,0,18351,206
Franklin County,0,0,2384,54
Fulton County,24,1,84213,1473
Gilmer County,1,0,2575,89
Glascock County,0,0,146,19
Glynn County,1,0,6845,178
Gordon County,0,0,6553,120
Grady County,1,0,1625,64
Greene County,0,0,1520,62
Gwinnett County,20,0,88039,1207
Habersham County,0,0,4698,164
Hall County,7,1,25564,492
Hancock County,0,0,846,69
Haralson County,1,0,1736,90
Harris County,1,0,2260,62
Hart County,0,0,1752,57
Heard County,0,0,655,22
Henry County,3,0,19789,335
Houston County,3,0,10250,272
Irwin County,3,0,777,31
Jackson County,1,0,8639,151
Jasper County,0,0,689,39
Jeff Davis County,1,0,1325,44
Jefferson County,1,0,1602,69
Jenkins County,1,0,736,44
Johnson County,0,0,796,50
Jones County,0,0,1623,59
Lamar County,0,0,1370,58
Lanier County,-1,0,510,13
Laurens County,1,0,3768,173
Lee County,1,0,1625,59
Liberty County,1,0,3630,66
Lincoln County,0,0,535,28
Long County,0,0,699,13
Lowndes County,6,0,8046,216
Lumpkin County,0,0,2861,79
Macon County,0,0,631,37
Madison County,0,0,2786,56
Marion County,0,0,410,24
McDuffie County,1,0,1732,52
McIntosh County,0,0,700,16
Meriwether County,0,0,1578,89
Miller County,0,0,685,14
Mitchell County,0,0,1553,84
Monroe County,0,0,1926,103
Montgomery County,0,0,738,23
Morgan County,0,0,1215,31
Murray County,1,0,4239,92
Muscogee County,6,0,14870,498
Newton County,2,0,7707,262
Oconee County,0,0,3096,73
Oglethorpe County,0,0,1222,31
Paulding County,7,0,11132,231
Peach County,1,0,1904,70
Pickens County,1,0,2599,80
Pierce County,2,0,1306,61
Pike County,0,0,1104,43
Polk County,0,0,3977,100
Pulaski County,0,0,617,45
Putnam County,2,0,1834,59
Quitman County,0,0,81,3
Rabun County,1,0,1591,50
Randolph County,0,0,479,34
Richmond County,6,0,20474,532
Rockdale County,2,0,6258,177
Schley County,0,0,211,5
Screven County,0,0,835,33
Seminole County,0,0,756,19
Spalding County,1,0,4250,203
Stephens County,0,0,3043,81
Stewart County,5,0,954,25
Sumter County,1,0,1855,106
Talbot County,0,0,404,19
Taliaferro County,0,0,102,3
Tattnall County,1,0,1886,69
Taylor County,0,0,518,26
Telfair County,0,0,735,60
Terrell County,0,0,586,49
Thomas County,3,0,3702,126
Tift County,1,0,3485,132
Toombs County,2,0,2991,119
Towns County,0,0,1150,60
Treutlen County,0,0,642,34
Troup County,5,0,6084,238
Turner County,1,0,619,42
Twiggs County,0,0,511,46
Union County,1,0,2118,81
Upson County,0,0,1842,133
Walker County,2,0,6765,90
Walton County,1,0,8205,265
Ware County,1,0,3095,181
Warren County,0,0,392,20
Washington County,0,0,1651,88
Wayne County,0,0,2802,91
Webster County,0,0,107,4
Wheeler County,0,0,461,25
White County,0,0,3022,83
Whitfield County,3,0,15022,250
Wilcox County,0,0,484,48
Wilkes County,0,0,696,30
Wilkinson County,0,0,741,27
Worth County,0,0,1202,69
