county,avgcases,avgdeaths,cases,deaths
Ada County,21,0,53621,486
Adams County,0,0,343,4
Bannock County,1,0,8887,110
Bear Lake County,0,0,395,2
Benewah County,0,0,767,10
Bingham County,0,0,4856,75
Blaine County,1,0,2401,18
Boise County,1,0,379,2
Bonner County,2,0,3390,45
Bonneville County,1,0,15047,177
Boundary County,0,0,896,11
Butte County,0,0,212,1
Camas County,0,0,72,0
Canyon County,12,0,27670,312
Caribou County,0,0,713,12
Cassia County,1,0,2975,28
Clark County,0,0,59,0
Clearwater County,0,0,1085,14
Custer County,0,0,257,3
Elmore County,1,0,2131,19
Franklin County,1,0,1226,17
Fremont County,0,0,1143,14
Gem County,1,0,1843,39
Gooding County,2,0,1340,24
Idaho County,1,0,1343,18
Jefferson County,1,0,3033,33
Jerome County,1,0,2653,23
Kootenai County,9,0,19090,217
Latah County,0,0,3219,11
Lemhi County,0,0,534,9
Lewis County,0,0,438,11
Lincoln County,0,0,512,11
Madison County,2,0,7347,28
Minidoka County,0,0,2357,33
Nez Perce County,2,0,3757,57
Oneida County,0,0,365,4
Owyhee County,0,0,1090,31
Payette County,1,0,2631,38
Power County,0,0,659,9
Shoshone County,0,0,1197,35
Teton County,0,0,1232,4
Twin Falls County,5,0,9808,131
Valley County,1,0,876,6
Washington County,0,0,1240,22
