county,avgcases,avgdeaths,cases,deaths
Adams County,11,0,8820,161
Alexander County,0,0,475,11
Bond County,1,0,2091,31
Boone County,1,0,6846,91
Brown County,2,0,750,12
Bureau County,1,0,3793,106
Calhoun County,0,0,531,6
Carroll County,0,0,1788,38
Cass County,1,0,2044,36
Champaign County,5,0,21157,165
Christian County,1,0,3844,96
Clark County,1,0,1851,41
Clay County,1,0,1506,46
Clinton County,1,0,5797,102
Coles County,1,0,5779,104
Cook County,71,3,557124,11212
Crawford County,0,0,2145,47
Cumberland County,0,0,1304,31
De Witt County,0,0,1575,42
DeKalb County,3,0,10159,128
Douglas County,0,0,2610,42
DuPage County,19,0,92579,1394
Edgar County,0,0,1772,67
Edwards County,1,0,584,14
Effingham County,1,0,4773,86
Fayette County,0,0,3228,58
Ford County,0,0,1892,62
Franklin County,2,0,4554,95
Fulton County,0,0,4052,67
Gallatin County,0,0,470,5
Greene County,1,0,1457,51
Grundy County,1,0,5994,84
Hamilton County,1,0,846,19
Hancock County,2,0,1827,43
Hardin County,0,0,391,13
Henderson County,0,0,529,17
Henry County,0,0,5081,100
Iroquois County,1,0,3160,71
Jackson County,3,0,5121,76
Jasper County,0,0,1167,21
Jefferson County,4,0,4449,123
Jersey County,1,0,2724,73
Jo Daviess County,1,0,1830,29
Johnson County,0,0,1483,22
Kane County,10,0,59559,872
Kankakee County,3,0,14604,231
Kendall County,3,0,13311,109
Knox County,2,0,5663,180
LaSalle County,1,0,12801,312
Lake County,8,0,68463,1107
Lawrence County,0,0,2410,36
Lee County,0,0,4196,96
Livingston County,1,0,4908,106
Logan County,2,0,4002,80
Macon County,2,0,11017,226
Macoupin County,3,0,4809,124
Madison County,22,0,31161,634
Marion County,3,0,4537,125
Marshall County,0,0,1084,22
Mason County,2,0,1558,47
Massac County,0,0,1363,48
McDonough County,4,0,2945,64
McHenry County,2,0,29211,326
McLean County,2,0,18571,236
Menard County,1,0,1255,17
Mercer County,0,0,1499,36
Monroe County,2,0,4402,94
Montgomery County,1,0,3801,83
Morgan County,5,0,3971,105
Moultrie County,1,0,1637,35
Ogle County,2,0,6234,94
Peoria County,2,0,23480,371
Perry County,0,0,3204,73
Piatt County,0,0,1526,21
Pike County,2,0,1835,56
Pope County,0,0,331,6
Pulaski County,0,0,703,8
Putnam County,0,0,488,5
Randolph County,1,0,4172,96
Richland County,0,0,1769,51
Rock Island County,1,0,15259,371
Saline County,1,0,2611,76
Sangamon County,6,0,19160,286
Schuyler County,0,0,783,19
Scott County,0,0,492,1
Shelby County,0,0,2328,43
St. Clair County,26,0,28580,576
Stark County,0,0,648,24
Stephenson County,1,0,4840,111
Tazewell County,2,0,17251,353
Union County,2,0,2303,50
Vermilion County,2,0,10054,165
Wabash County,3,0,1375,17
Warren County,0,0,1848,54
Washington County,0,0,1651,31
Wayne County,1,0,1821,54
White County,0,0,1707,36
Whiteside County,1,0,7209,221
Will County,12,1,77069,1125
Williamson County,4,0,7648,151
Winnebago County,7,1,34205,545
Woodford County,2,0,4863,108
