county,avgcases,avgdeaths,cases,deaths
Adams County,0,0,3792,57
Allen County,12,0,41889,714
Bartholomew County,1,0,8202,162
Benton County,3,0,1055,14
Blackford County,0,0,1377,32
Boone County,5,0,7049,108
Brown County,0,0,1044,43
Carroll County,0,0,1943,24
Cass County,2,0,6041,112
Clark County,2,0,13270,205
Clay County,3,0,2691,48
Clinton County,3,0,4466,60
Crawford County,0,0,1026,17
Daviess County,2,0,3055,102
DeKalb County,2,0,4424,88
Dearborn County,1,0,5919,81
Decatur County,0,0,2957,96
Delaware County,3,0,11007,205
Dubois County,0,0,6228,119
Elkhart County,6,0,29574,478
Fayette County,0,0,2987,66
Floyd County,2,0,7840,185
Fountain County,6,0,2268,49
Franklin County,0,0,1724,36
Fulton County,1,0,2046,43
Gibson County,3,0,4481,98
Grant County,2,0,7680,187
Greene County,1,0,2885,89
Hamilton County,12,0,36768,442
Hancock County,3,0,8632,150
Harrison County,0,0,4423,77
Hendricks County,7,0,17822,340
Henry County,0,0,5920,113
Howard County,7,0,10415,228
Huntington County,1,0,4044,83
Jackson County,1,0,5102,78
Jasper County,3,0,3916,57
Jay County,1,0,2027,35
Jefferson County,0,0,3366,87
Jennings County,0,0,2358,51
Johnson County,5,0,18594,406
Knox County,2,0,3798,91
Kosciusko County,2,0,9676,128
LaGrange County,1,0,2743,74
LaPorte County,3,0,12463,224
Lake County,45,1,56270,1058
Lawrence County,3,0,4785,126
Madison County,5,0,13248,364
Marion County,23,1,103770,1857
Marshall County,5,0,6255,118
Martin County,0,0,921,15
Miami County,3,0,3986,70
Monroe County,5,0,12277,179
Montgomery County,4,0,4433,93
Morgan County,3,0,6805,146
Newton County,3,0,1172,38
Noble County,1,0,5832,92
Ohio County,0,0,579,11
Orange County,1,0,1891,58
Owen County,2,0,2141,60
Parke County,1,0,1515,16
Perry County,0,0,1883,38
Pike County,0,0,1385,34
Porter County,5,0,19430,338
Posey County,1,0,2753,35
Pulaski County,0,0,1211,48
Putnam County,1,0,3752,61
Randolph County,0,0,2495,84
Ripley County,1,0,3485,71
Rush County,0,0,1831,26
Scott County,0,0,2714,60
Shelby County,3,0,6034,108
Spencer County,0,0,2348,31
St. Joseph County,5,0,37079,584
Starke County,0,0,2287,61
Steuben County,2,0,4029,61
Sullivan County,1,0,2163,43
Switzerland County,1,0,820,8
Tippecanoe County,9,0,23015,231
Tipton County,1,0,1679,49
Union County,0,0,756,11
Vanderburgh County,12,0,22672,407
Vermillion County,1,0,1764,44
Vigo County,4,0,12676,258
Wabash County,1,0,3631,83
Warren County,2,0,858,16
Warrick County,3,0,7890,159
Washington County,0,0,2466,37
Wayne County,1,0,7557,205
Wells County,1,0,2990,83
White County,2,0,3347,54
Whitley County,1,0,4075,44
