county,avgcases,avgdeaths,cases,deaths
Adair County,0,0,876,32
Adams County,0,0,348,4
Allamakee County,0,0,1530,52
Appanoose County,0,0,1291,49
Audubon County,0,0,536,11
Benton County,2,0,2616,55
Black Hawk County,14,0,16313,315
Boone County,0,0,2686,34
Bremer County,1,0,2894,62
Buchanan County,0,0,1943,34
Buena Vista County,0,0,4273,40
Butler County,1,0,1669,35
Calhoun County,1,0,1393,13
Carroll County,0,0,2873,52
Cass County,0,0,1391,55
Cedar County,0,0,1924,23
Cerro Gordo County,2,0,5554,97
Cherokee County,1,0,1599,38
Chickasaw County,0,0,1251,17
Clarke County,0,0,1013,24
Clay County,0,0,2168,27
Clayton County,0,0,1712,57
Clinton County,0,0,5617,93
Crawford County,1,0,2687,41
Dallas County,1,0,11302,99
Davis County,0,0,853,25
Decatur County,1,0,620,9
Delaware County,0,0,2111,43
Des Moines County,2,0,4697,73
Dickinson County,0,0,2495,44
Dubuque County,2,0,13536,212
Emmet County,0,0,1360,41
Fayette County,1,0,1875,43
Floyd County,0,0,1638,42
Franklin County,0,0,1237,23
Fremont County,0,0,627,10
Greene County,0,0,781,11
Grundy County,0,0,1377,33
Guthrie County,0,0,1234,32
Hamilton County,0,0,1820,51
Hancock County,0,0,1506,34
Hardin County,1,0,1884,44
Harrison County,0,0,1801,73
Henry County,0,0,2953,37
Howard County,0,0,1051,22
Humboldt County,1,0,1204,26
Ida County,0,0,917,35
Iowa County,0,0,1500,24
Jackson County,0,0,2252,42
Jasper County,1,0,4218,73
Jefferson County,0,0,1338,35
Johnson County,3,0,14646,85
Jones County,0,0,3012,57
Keokuk County,0,0,971,32
Kossuth County,0,0,2164,66
Lee County,4,0,3852,57
Linn County,5,0,21286,341
Louisa County,0,0,1300,49
Lucas County,0,0,780,23
Lyon County,1,0,1599,41
Madison County,0,0,1647,19
Mahaska County,0,0,2329,51
Marion County,0,0,3662,77
Marshall County,1,0,4884,76
Mills County,1,0,1642,24
Mitchell County,0,0,1267,43
Monona County,0,0,836,31
Monroe County,0,0,964,32
Montgomery County,0,0,1036,38
Muscatine County,1,0,4892,106
O'Brien County,0,0,1998,61
Osceola County,0,0,789,17
Page County,0,0,1945,22
Palo Alto County,0,0,1136,23
Plymouth County,0,0,4034,81
Pocahontas County,0,0,858,22
Polk County,8,0,58342,642
Pottawattamie County,1,0,11244,176
Poweshiek County,0,0,1572,36
Ringgold County,0,0,565,24
Sac County,0,0,1310,20
Scott County,3,0,20332,249
Shelby County,0,0,1318,37
Sioux County,0,0,5178,74
Story County,1,0,10728,48
Tama County,1,0,2127,71
Taylor County,0,0,668,12
Union County,0,0,1301,35
Van Buren County,0,0,565,18
Wapello County,1,0,4345,122
Warren County,1,0,5851,92
Washington County,1,0,2575,51
Wayne County,1,0,549,23
Webster County,5,0,5202,94
Winnebago County,0,0,1447,31
Winneshiek County,2,0,2004,35
Woodbury County,2,0,15254,230
Worth County,0,0,763,8
Wright County,1,0,1866,40
