county,avgcases,avgdeaths,cases,deaths
Allen County,1,0,1258,20
Anderson County,0,0,852,18
Atchison County,-4,0,1540,14
Barber County,0,0,374,6
Barton County,0,0,2615,51
Bourbon County,1,0,1441,28
Brown County,1,0,1243,38
Butler County,2,0,7664,91
Chase County,0,0,278,3
Chautauqua County,0,0,271,6
Cherokee County,5,0,2619,53
Cheyenne County,0,0,371,13
Clark County,0,0,250,7
Clay County,1,0,815,30
Cloud County,0,0,1004,25
Coffey County,0,0,751,23
Comanche County,0,0,172,9
Cowley County,0,0,4008,108
Crawford County,6,0,4885,78
Decatur County,0,0,281,12
Dickinson County,2,0,1825,47
Doniphan County,3,0,1044,23
Douglas County,2,0,8977,85
Edwards County,0,0,267,12
Elk County,0,0,181,5
Ellis County,1,0,3764,73
Ellsworth County,0,0,1226,25
Finney County,2,0,5870,73
Ford County,1,0,5789,76
Franklin County,2,0,2601,43
Geary County,8,0,3650,42
Gove County,0,0,388,19
Graham County,0,0,265,9
Grant County,0,0,950,18
Gray County,0,0,586,14
Greeley County,0,0,104,1
Greenwood County,0,0,575,11
Hamilton County,0,0,210,1
Harper County,0,0,624,18
Harvey County,0,0,3710,72
Haskell County,0,0,416,9
Hodgeman County,0,0,213,9
Jackson County,0,0,1419,17
Jefferson County,1,0,1763,38
Jewell County,0,0,216,6
Johnson County,33,0,59916,771
Kearny County,0,0,573,10
Kingman County,0,0,778,15
Kiowa County,0,0,236,4
Labette County,1,0,2774,50
Lane County,0,0,128,7
Leavenworth County,4,0,7324,94
Lincoln County,0,0,266,5
Linn County,1,0,833,8
Logan County,2,0,305,6
Lyon County,1,0,4326,86
Marion County,0,0,1120,24
Marshall County,0,0,1138,26
McPherson County,1,0,3342,85
Meade County,0,0,514,13
Miami County,2,0,2806,42
Mitchell County,0,0,569,18
Montgomery County,1,0,3483,84
Morris County,0,0,591,23
Morton County,0,0,269,8
Nemaha County,1,0,1531,55
Neosho County,1,0,1820,35
Ness County,0,0,372,16
Norton County,0,0,1210,27
Osage County,0,0,1267,26
Osborne County,0,0,293,12
Ottawa County,0,0,560,13
Pawnee County,1,0,1178,14
Phillips County,0,0,711,25
Pottawatomie County,2,0,2005,32
Pratt County,0,0,815,25
Rawlins County,0,0,333,7
Reno County,1,0,8602,141
Republic County,0,0,671,13
Rice County,0,0,1075,12
Riley County,6,0,6321,43
Rooks County,0,0,659,11
Rush County,0,0,434,14
Russell County,1,0,865,28
Saline County,5,0,6362,143
Scott County,0,0,604,24
Sedgwick County,24,1,58027,791
Seward County,2,0,3879,41
Shawnee County,8,0,17754,369
Sheridan County,0,0,437,14
Sherman County,0,0,662,12
Smith County,0,0,279,3
Stafford County,0,0,344,10
Stanton County,0,0,186,6
Stevens County,0,0,559,10
Sumner County,2,0,2236,53
Thomas County,0,0,1102,20
Trego County,0,0,407,8
Wabaunsee County,1,0,698,14
Wallace County,0,0,179,4
Washington County,0,0,555,14
Wichita County,0,0,218,6
Wilson County,1,0,1032,16
Woodson County,0,0,225,5
Wyandotte County,13,0,21023,286
