county,avgcases,avgdeaths,cases,deaths
Adair County,0,0,1959,54
Allen County,0,0,2122,44
Anderson County,2,0,1799,23
Ballard County,0,0,420,9
Barren County,1,0,4517,103
Bath County,0,0,1051,24
Bell County,2,0,3182,58
Boone County,5,0,14442,147
Bourbon County,0,0,1765,20
Boyd County,3,0,5144,76
Boyle County,1,0,3509,78
Bracken County,1,0,673,7
Breathitt County,0,0,1055,9
Breckinridge County,1,0,1323,18
Bullitt County,3,0,7414,83
Butler County,0,0,1480,28
Caldwell County,0,0,1486,32
Calloway County,1,0,3592,50
Campbell County,1,0,8766,80
Carlisle County,0,0,484,10
Carroll County,1,0,1042,21
Carter County,2,0,2378,35
Casey County,0,0,1518,39
Christian County,1,0,7085,107
Clark County,2,0,3037,32
Clay County,1,0,2719,46
Clinton County,0,0,1454,31
Crittenden County,0,0,685,24
Cumberland County,0,0,697,12
Daviess County,2,0,11022,193
Edmonson County,0,0,924,25
Elliott County,1,0,987,2
Estill County,1,0,1184,12
Fayette County,10,0,36557,315
Fleming County,0,0,1233,25
Floyd County,0,0,3503,72
Franklin County,1,0,4197,56
Fulton County,0,0,547,16
Gallatin County,1,0,745,33
Garrard County,0,0,1554,37
Grant County,2,0,2532,21
Graves County,4,0,4393,96
Grayson County,1,0,2255,58
Green County,0,0,1234,17
Greenup County,2,0,3724,63
Hancock County,0,0,897,15
Hardin County,5,0,10011,170
Harlan County,2,0,2951,91
Harrison County,1,0,1834,25
Hart County,1,0,2027,53
Henderson County,2,0,4984,79
Henry County,1,0,1390,20
Hickman County,0,0,402,15
Hopkins County,6,0,4734,148
Jackson County,1,0,1335,32
Jefferson County,18,0,83141,1336
Jessamine County,2,0,4804,72
Johnson County,0,0,2108,37
Kenton County,4,0,16902,204
Knott County,1,0,1162,24
Knox County,0,0,3876,46
LaRue County,2,0,1368,26
Laurel County,2,0,7578,81
Lawrence County,1,0,1488,28
Lee County,0,0,1294,26
Leslie County,1,0,961,8
Letcher County,1,0,1975,46
Lewis County,1,0,1365,40
Lincoln County,1,0,2412,59
Livingston County,0,0,888,25
Logan County,4,0,2949,73
Lyon County,1,0,1558,21
Madison County,5,0,9590,112
Magoffin County,0,0,1039,18
Marion County,1,0,2391,38
Marshall County,1,0,2896,60
Martin County,1,0,1059,20
Mason County,1,0,1764,40
McCracken County,4,0,6960,133
McCreary County,-3,0,2006,34
McLean County,0,0,904,28
Meade County,2,0,2095,26
Menifee County,0,0,489,17
Mercer County,0,0,2637,54
Metcalfe County,0,0,1069,30
Monroe County,0,0,1344,44
Montgomery County,1,0,2862,30
Morgan County,1,0,2330,5
Muhlenberg County,2,0,3084,67
Nelson County,1,0,5020,62
Nicholas County,0,0,599,8
Ohio County,1,0,2516,55
Oldham County,1,0,7700,84
Owen County,1,0,742,13
Owsley County,0,0,508,16
Pendleton County,0,0,1047,4
Perry County,3,0,2795,66
Pike County,12,0,5855,106
Powell County,1,0,1354,13
Pulaski County,-5,0,6599,110
Robertson County,0,0,237,14
Rockcastle County,1,0,1640,24
Rowan County,1,0,2330,21
Russell County,0,0,1891,46
Scott County,-2,0,5485,36
Shelby County,0,0,4827,78
Simpson County,1,0,2158,42
Spencer County,0,0,1653,25
Taylor County,1,0,3189,53
Todd County,0,0,1172,28
Trigg County,0,0,1341,14
Trimble County,1,0,706,7
Union County,1,0,1450,16
Warren County,6,0,16337,185
Washington County,0,0,1461,41
Wayne County,1,0,2215,48
Webster County,2,0,1419,22
Whitley County,3,0,4057,61
Wolfe County,1,0,549,6
Woodford County,1,0,2167,22
