county,avgcases,avgdeaths,cases,deaths
Acadia Parish,5,0,6810,197
Allen Parish,1,0,3275,92
Ascension Parish,16,0,12953,168
Assumption Parish,2,0,2334,36
Avoyelles Parish,2,0,4353,125
Beauregard Parish,3,0,3332,79
Bienville Parish,1,0,1712,84
Bossier Parish,11,0,14485,311
Caddo Parish,11,0,27264,761
Calcasieu Parish,15,1,23279,455
Caldwell Parish,1,0,1140,29
Cameron Parish,0,0,634,7
Catahoula Parish,0,0,1180,38
Claiborne Parish,1,0,1482,55
Concordia Parish,2,0,1927,62
De Soto Parish,2,0,2909,78
East Baton Rouge Parish,46,0,41251,839
East Carroll Parish,0,0,1139,27
East Feliciana Parish,2,0,3262,115
Evangeline Parish,1,0,3699,97
Franklin Parish,1,0,2574,107
Grant Parish,1,0,2271,58
Iberia Parish,4,0,7418,161
Iberville Parish,4,0,3957,101
Jackson Parish,2,0,2080,52
Jefferson Davis Parish,1,0,3249,97
Jefferson Parish,28,0,47640,911
LaSalle Parish,3,0,1709,37
Lafayette Parish,18,0,24596,294
Lafourche Parish,16,0,10222,205
Lincoln Parish,4,0,4707,94
Livingston Parish,22,0,14430,213
Madison Parish,0,0,1574,40
Morehouse Parish,1,0,2883,78
Natchitoches Parish,1,0,4171,94
Orleans Parish,20,0,31117,805
Ouachita Parish,12,0,19108,463
Plaquemines Parish,1,0,2570,27
Pointe Coupee Parish,4,0,2741,75
Rapides Parish,8,0,12757,327
Red River Parish,1,0,905,38
Richland Parish,1,0,2515,57
Sabine Parish,1,0,3005,64
St. Bernard Parish,3,0,4150,54
St. Charles Parish,4,0,5648,98
St. Helena Parish,1,0,985,12
St. James Parish,2,0,2045,51
St. John the Baptist Parish,3,0,3889,141
St. Landry Parish,7,0,9210,262
St. Martin Parish,7,0,5584,118
St. Mary Parish,14,0,5114,143
St. Tammany Parish,25,0,26506,528
Tangipahoa Parish,17,0,13284,306
Tensas Parish,0,0,372,8
Terrebonne Parish,12,0,10993,228
Union Parish,1,0,2457,82
Vermilion Parish,5,0,5801,126
Vernon Parish,3,0,3222,105
Washington Parish,4,0,4495,134
Webster Parish,3,0,4275,114
West Baton Rouge Parish,4,0,3009,63
West Carroll Parish,0,0,1193,41
West Feliciana Parish,0,0,1210,34
Winn Parish,1,0,1587,47
