county,avgcases,avgdeaths,cases,deaths
Alcona County,0,0,739,33
Alger County,0,0,519,7
Allegan County,1,0,11189,161
Alpena County,0,0,2272,63
Antrim County,0,0,1635,30
Arenac County,0,0,1209,29
Baraga County,0,0,823,39
Barry County,1,0,5965,69
Bay County,1,0,11266,355
Benzie County,0,0,1281,36
Berrien County,5,0,15528,293
Branch County,2,0,4918,97
Calhoun County,4,0,14569,318
Cass County,1,0,5503,77
Charlevoix County,0,0,1676,22
Cheboygan County,0,0,1931,46
Chippewa County,1,0,2514,34
Clare County,1,0,2481,85
Clinton County,1,0,7658,93
Crawford County,0,0,996,14
Delta County,0,0,4057,95
Dickinson County,0,0,2755,74
Eaton County,1,0,10157,212
Emmet County,0,0,2379,43
Genesee County,3,0,41758,971
Gladwin County,0,0,2305,61
Gogebic County,0,0,1406,52
Grand Traverse County,1,0,6480,99
Gratiot County,0,0,4094,121
Hillsdale County,-1,0,4402,93
Houghton County,1,0,3143,43
Huron County,0,0,4093,82
Ingham County,3,0,24912,392
Ionia County,2,0,6336,80
Iosco County,0,0,2007,74
Iron County,0,0,1054,53
Isabella County,0,0,6339,100
Jackson County,3,0,15842,293
Kalamazoo County,4,0,23192,402
Kalkaska County,1,0,1144,27
Kent County,47,1,73773,864
Keweenaw County,0,0,174,2
Lake County,0,0,638,16
Lapeer County,0,0,9243,206
Leelanau County,0,0,1243,19
Lenawee County,1,0,9388,171
Livingston County,3,0,16756,196
Luce County,0,0,482,5
Mackinac County,0,0,716,3
Macomb County,10,1,100224,2495
Manistee County,0,0,1210,22
Marquette County,1,0,5086,63
Mason County,0,0,2140,37
Mecosta County,1,0,3216,36
Menominee County,1,0,2130,43
Midland County,0,0,7577,94
Missaukee County,0,0,1513,27
Monroe County,2,0,15419,264
Montcalm County,0,0,6093,114
Montmorency County,0,0,618,20
Muskegon County,4,0,16306,371
Newaygo County,1,0,4900,68
Oakland County,14,1,118749,2446
Oceana County,0,0,2769,60
Ogemaw County,1,0,1747,43
Ontonagon County,0,0,482,21
Osceola County,0,0,1962,31
Oscoda County,0,0,691,31
Otsego County,1,0,2347,41
Ottawa County,6,0,32941,441
Presque Isle County,0,0,1057,34
Roscommon County,0,0,1900,55
Saginaw County,2,0,21390,625
Sanilac County,0,0,4261,125
Schoolcraft County,0,0,438,5
Shiawassee County,1,0,6438,107
St. Clair County,1,0,18483,448
St. Joseph County,0,0,6256,101
Tuscola County,0,0,5668,174
Van Buren County,1,0,7147,130
Washtenaw County,3,0,26513,303
Wayne County,48,2,166009,5168
Wexford County,0,0,2902,48
