county,avgcases,avgdeaths,cases,deaths
Aitkin County,0,0,1390,37
Anoka County,7,0,42851,461
Becker County,0,0,3870,56
Beltrami County,1,0,4083,62
Benton County,0,0,5832,98
Big Stone County,0,0,605,4
Blue Earth County,1,0,7637,44
Brown County,0,0,3080,40
Carlton County,1,0,3540,57
Carver County,1,0,10686,49
Cass County,1,0,2870,32
Chippewa County,0,0,1540,38
Chisago County,1,0,6216,52
Clay County,1,0,8273,92
Clearwater County,0,0,890,16
Cook County,0,0,172,0
Cottonwood County,0,0,1673,24
Crow Wing County,1,0,6828,97
Dakota County,7,0,46923,474
Dodge County,0,0,1877,3
Douglas County,0,0,4760,81
Faribault County,1,0,1560,19
Fillmore County,0,0,1577,10
Freeborn County,0,0,3475,33
Goodhue County,0,0,4840,74
Grant County,0,0,594,8
Hennepin County,24,1,125221,1788
Houston County,0,0,1747,16
Hubbard County,1,0,1971,41
Isanti County,0,0,4408,64
Itasca County,1,0,4610,65
Jackson County,0,0,1228,12
Kanabec County,0,0,1469,28
Kandiyohi County,0,0,6690,85
Kittson County,0,0,490,22
Koochiching County,0,0,958,18
Lac qui Parle County,0,0,757,22
Lake County,0,0,833,20
Lake of the Woods County,0,0,345,3
Le Sueur County,1,0,2978,27
Lincoln County,0,0,584,3
Lyon County,0,0,3642,54
Mahnomen County,0,0,565,9
Marshall County,0,0,888,17
Martin County,0,0,2354,33
McLeod County,1,0,4323,61
Meeker County,0,0,2637,43
Mille Lacs County,0,0,3118,55
Morrison County,1,0,4254,62
Mower County,1,0,4714,33
Murray County,0,0,1071,10
Nicollet County,1,0,3317,45
Nobles County,1,0,4083,50
Norman County,0,0,548,9
Olmsted County,2,0,13424,102
Otter Tail County,1,0,5873,86
Pennington County,0,0,1538,20
Pine County,0,0,3352,23
Pipestone County,0,0,1167,26
Polk County,0,0,3893,72
Pope County,0,0,1129,6
Ramsey County,6,1,52577,904
Red Lake County,0,0,401,7
Redwood County,0,0,1767,40
Renville County,0,0,1828,46
Rice County,1,0,8216,111
Rock County,0,0,1286,19
Roseau County,0,0,2113,21
Scott County,1,0,17567,138
Sherburne County,1,0,12037,95
Sibley County,0,0,1468,10
St. Louis County,1,0,18166,318
Stearns County,1,0,22576,226
Steele County,1,0,3985,18
Stevens County,0,0,925,11
Swift County,0,0,1072,18
Todd County,1,0,2866,33
Traverse County,0,0,377,5
Wabasha County,0,0,2079,3
Wadena County,1,0,1640,23
Waseca County,1,0,2387,23
Washington County,3,1,27461,295
Watonwan County,0,0,1356,9
Wilkin County,0,0,833,13
Winona County,0,0,4616,52
Wright County,2,0,16399,150
Yellow Medicine County,0,0,1151,20
