county,avgcases,avgdeaths,cases,deaths
Adams County,6,0,3126,86
Alcorn County,1,0,3310,74
Amite County,1,0,1273,43
Attala County,0,0,2154,73
Benton County,0,0,1024,25
Bolivar County,0,0,4847,134
Calhoun County,0,0,1744,32
Carroll County,0,0,1223,30
Chickasaw County,1,0,2117,59
Choctaw County,1,0,798,18
Claiborne County,0,0,1033,30
Clarke County,0,0,1792,80
Clay County,1,0,1885,54
Coahoma County,2,0,3013,84
Copiah County,2,0,3014,66
Covington County,2,0,2690,83
DeSoto County,11,0,22407,273
Forrest County,5,0,7889,153
Franklin County,0,0,852,23
George County,1,0,2534,51
Greene County,0,0,1321,34
Grenada County,0,0,2641,88
Hancock County,2,0,3898,88
Harrison County,16,0,18587,317
Hinds County,32,0,21039,425
Holmes County,0,0,1908,74
Humphreys County,0,0,975,33
Issaquena County,0,0,169,6
Itawamba County,0,0,3052,80
Jackson County,12,0,13842,251
Jasper County,0,0,2226,48
Jefferson County,0,0,663,28
Jefferson Davis County,0,0,1088,34
Jones County,2,0,8492,167
Kemper County,0,0,968,29
Lafayette County,2,0,6335,122
Lamar County,4,0,6401,88
Lauderdale County,1,0,7274,243
Lawrence County,1,0,1321,25
Leake County,1,0,2733,74
Lee County,6,0,10111,176
Leflore County,0,0,3518,125
Lincoln County,1,0,4022,113
Lowndes County,4,0,6559,150
Madison County,7,0,10328,227
Marion County,2,0,2725,80
Marshall County,2,0,4595,105
Monroe County,2,0,4179,136
Montgomery County,1,0,1293,44
Neshoba County,2,0,4085,180
Newton County,1,0,2498,64
Noxubee County,1,0,1286,34
Oktibbeha County,1,0,4675,98
Panola County,1,0,4679,111
Pearl River County,4,0,4649,148
Perry County,1,0,1283,38
Pike County,1,0,3382,111
Pontotoc County,4,0,4291,73
Prentiss County,2,0,2867,61
Quitman County,0,0,825,17
Rankin County,15,0,14061,282
Scott County,1,0,3214,74
Sharkey County,0,0,510,17
Simpson County,4,0,3019,89
Smith County,2,0,1653,34
Stone County,3,0,1914,34
Sunflower County,1,0,3399,93
Tallahatchie County,0,0,1801,42
Tate County,1,0,3433,87
Tippah County,1,0,2933,68
Tishomingo County,1,0,2331,69
Tunica County,1,0,1085,27
Union County,1,0,4170,78
Walthall County,1,0,1359,47
Warren County,2,0,4455,121
Washington County,1,0,5438,138
Wayne County,1,0,2659,42
Webster County,0,0,1151,32
Wilkinson County,0,0,700,32
Winston County,1,0,2311,82
Yalobusha County,0,0,1682,40
Yazoo County,2,0,3158,71
