county,avgcases,avgdeaths,cases,deaths
Adair County,5,0,2480,19
Andrew County,5,0,1980,21
Atchison County,0,0,463,6
Audrain County,1,0,2805,58
Barry County,7,0,3075,47
Barton County,2,0,1238,16
Bates County,1,0,1354,32
Benton County,3,0,1747,35
Bollinger County,0,0,1165,14
Boone County,29,0,18542,99
Buchanan County,27,0,9847,148
Butler County,3,0,4297,50
Caldwell County,1,0,881,15
Callaway County,6,0,5154,51
Camden County,13,0,4445,89
Cape Girardeau County,3,0,9030,139
Carroll County,1,0,1073,24
Carter County,1,0,550,11
Cass County,12,0,9562,116
Cedar County,1,0,1168,21
Chariton County,1,0,754,8
Christian County,33,1,9275,97
Clark County,1,0,718,8
Clay County,14,0,10508,174
Clinton County,2,0,2026,65
Cole County,15,0,9403,130
Cooper County,2,0,1959,27
Crawford County,2,0,2675,40
Dade County,1,0,633,17
Dallas County,11,0,1532,28
Daviess County,1,0,759,11
DeKalb County,1,0,1150,32
Dent County,2,0,1063,19
Douglas County,4,0,1023,29
Dunklin County,5,0,3103,50
Franklin County,6,0,10884,186
Gasconade County,1,0,1588,47
Gentry County,2,0,863,20
Greene County,123,1,31448,482
Grundy County,3,0,1141,35
Harrison County,1,0,905,14
Henry County,2,0,2093,40
Hickory County,3,0,708,15
Holt County,2,0,464,14
Howard County,2,0,1079,7
Howell County,10,0,3679,45
Iron County,1,0,927,7
Jackson County,82,1,85338,1078
Jasper County,64,0,16910,244
Jefferson County,13,0,23812,254
Johnson County,4,0,4887,59
Knox County,1,0,386,3
Laclede County,14,0,3710,75
Lafayette County,4,0,3221,57
Lawrence County,16,0,3720,87
Lewis County,0,0,1071,20
Lincoln County,7,0,6334,51
Linn County,2,0,1602,17
Livingston County,4,0,2154,46
Macon County,3,0,1653,18
Madison County,0,0,1691,16
Maries County,1,0,657,8
Marion County,1,0,3679,53
McDonald County,7,0,2634,31
Mercer County,0,0,313,2
Miller County,5,0,2714,57
Mississippi County,1,0,1504,28
Moniteau County,2,0,1841,32
Monroe County,1,0,1023,12
Montgomery County,1,0,1080,13
Morgan County,6,0,1818,44
New Madrid County,1,0,2154,47
Newton County,23,0,5872,80
Nodaway County,3,0,2431,25
Oregon County,4,0,851,5
Osage County,1,0,1656,16
Ozark County,1,0,681,21
Pemiscot County,1,0,1618,39
Perry County,1,0,2279,30
Pettis County,3,0,5231,77
Phelps County,7,0,4029,132
Pike County,1,0,1817,26
Platte County,4,0,4287,49
Polk County,14,0,3769,38
Pulaski County,8,0,3652,55
Putnam County,0,0,485,4
Ralls County,1,0,1076,13
Randolph County,1,0,2715,31
Ray County,3,0,2057,28
Reynolds County,0,0,395,3
Ripley County,1,0,1111,17
Saline County,3,0,2891,38
Schuyler County,1,0,347,7
Scotland County,0,0,306,4
Scott County,1,0,4755,87
Shannon County,2,0,615,12
Shelby County,1,0,684,7
St. Charles County,23,1,43610,473
St. Clair County,1,0,815,8
St. Francois County,2,0,8989,116
St. Louis County,71,1,95987,1912
"St. Louis, City of",25,1,24624,473
Ste. Genevieve County,1,0,1846,17
Stoddard County,3,0,2553,42
Stone County,10,0,2705,49
Sullivan County,1,0,871,14
Taney County,27,0,6097,102
Texas County,3,0,2026,23
Vernon County,3,0,2010,46
Warren County,3,0,3254,28
Washington County,0,0,2797,52
Wayne County,0,0,1045,14
Webster County,18,0,4119,56
Worth County,0,0,187,2
Wright County,5,0,1758,34
