county,avgcases,avgdeaths,cases,deaths
Beaverhead County,0,0,928,12
Big Horn County,1,0,2591,76
Blaine County,1,0,820,24
Broadwater County,0,0,524,5
Carbon County,1,0,914,17
Carter County,0,0,151,5
Cascade County,7,0,9519,188
Chouteau County,0,0,516,7
Custer County,0,0,1207,18
Daniels County,0,0,197,8
Dawson County,0,0,1106,29
Deer Lodge County,0,0,1126,16
Fallon County,0,0,291,2
Fergus County,0,0,1132,31
Flathead County,6,0,12453,102
Gallatin County,2,0,14923,63
Garfield County,0,0,80,2
Glacier County,0,0,1547,43
Golden Valley County,0,0,57,2
Granite County,0,0,204,2
Hill County,1,0,2034,46
Jefferson County,0,0,1115,8
Judith Basin County,0,0,92,1
Lake County,1,0,2139,36
Lewis and Clark County,3,0,7068,92
Liberty County,0,0,119,1
Lincoln County,1,0,1651,18
Madison County,0,0,796,8
McCone County,0,0,183,1
Meagher County,0,0,152,7
Mineral County,0,0,293,2
Missoula County,3,0,9378,96
Musselshell County,1,0,376,14
Park County,1,0,1460,20
Petroleum County,0,0,12,1
Phillips County,0,0,527,16
Pondera County,0,0,509,4
Powder River County,1,0,134,6
Powell County,1,0,940,11
Prairie County,0,0,141,2
Ravalli County,2,0,3265,50
Richland County,0,0,1246,18
Roosevelt County,0,0,1670,55
Rosebud County,0,0,1233,50
Sanders County,0,0,676,15
Sheridan County,0,0,424,5
Silver Bow County,1,0,4166,86
Stillwater County,0,0,753,14
Sweet Grass County,0,0,404,7
Teton County,0,0,506,6
Toole County,0,0,728,11
Treasure County,0,0,55,1
Valley County,0,0,902,18
Wheatland County,0,0,183,8
Wibaux County,0,0,121,6
Yellowstone County,12,0,18084,274
