county,avgcases,avgdeaths,cases,deaths
Adams County,0,0,2993,46
Antelope County,0,0,536,7
Arthur County,0,0,22,1
Banner County,0,0,36,0
Blaine County,0,0,21,0
Boone County,0,0,584,4
Box Butte County,0,0,944,8
Boyd County,0,0,176,3
Brown County,0,0,220,2
Buffalo County,0,0,5521,57
Burt County,0,0,671,12
Butler County,0,0,850,11
Cass County,0,0,2676,16
Cedar County,0,0,776,11
Chase County,0,0,463,5
Cherry County,0,0,301,7
Cheyenne County,0,0,938,16
Clay County,0,0,706,11
Colfax County,0,0,1593,21
Cuming County,0,0,1056,15
Custer County,0,0,852,19
Dakota County,0,0,3939,65
Dawes County,0,0,749,12
Dawson County,0,0,2888,31
Deuel County,0,0,107,1
Dixon County,0,0,611,9
Dodge County,0,0,4964,62
Douglas County,0,0,71755,718
Dundy County,0,0,185,4
Fillmore County,0,0,507,8
Franklin County,0,0,242,4
Frontier County,0,0,193,1
Furnas County,0,0,508,5
Gage County,0,0,2188,19
Garden County,0,0,113,1
Garfield County,0,0,153,1
Gosper County,0,0,187,5
Grant County,0,0,41,4
Greeley County,0,0,214,1
Hall County,0,0,7863,117
Hamilton County,0,0,967,17
Harlan County,0,0,219,0
Hayes County,0,0,61,0
Hitchcock County,0,0,255,5
Holt County,0,0,865,16
Hooker County,0,0,54,2
Howard County,0,0,559,10
Jefferson County,0,0,669,1
Johnson County,0,0,641,9
Kearney County,0,0,690,5
Keith County,0,0,723,10
Keya Paha County,0,0,54,0
Kimball County,0,0,423,1
Knox County,0,0,888,12
Lancaster County,0,0,31468,170
Lincoln County,0,0,3874,60
Logan County,0,0,82,0
Loup County,0,0,42,0
Madison County,0,0,4303,44
McPherson County,0,0,29,1
Merrick County,0,0,787,15
Morrill County,0,0,513,7
Nance County,0,0,414,10
Nemaha County,0,0,696,15
Nuckolls County,0,0,434,11
Otoe County,0,0,1473,10
Pawnee County,0,0,234,1
Perkins County,0,0,294,11
Phelps County,0,0,1001,10
Pierce County,0,0,642,20
Platte County,0,0,4152,50
Polk County,0,0,585,9
Red Willow County,0,0,1214,15
Richardson County,0,0,738,19
Rock County,0,0,102,2
Saline County,0,0,2044,2
Sarpy County,0,0,22854,131
Saunders County,0,0,2534,16
Scotts Bluff County,0,0,4193,48
Seward County,0,0,1761,32
Sheridan County,0,0,530,10
Sherman County,0,0,212,4
Sioux County,0,0,39,0
Stanton County,0,0,372,11
Thayer County,0,0,495,4
Thomas County,0,0,53,1
Thurston County,0,0,848,11
Valley County,0,0,327,2
Washington County,0,0,2198,25
Wayne County,0,0,1090,7
Webster County,0,0,391,7
Wheeler County,0,0,39,0
York County,0,0,1768,11
