county,avgcases,avgdeaths,cases,deaths
"Carson City, Consolidated Municipality of",2,0,6626,124
Churchill County,2,0,2129,49
Clark County,453,3,260389,4504
Douglas County,2,0,3018,37
Elko County,5,0,5181,58
Esmeralda County,0,0,38,0
Eureka County,0,0,55,0
Humboldt County,1,0,1219,14
Lander County,1,0,481,9
Lincoln County,0,0,376,3
Lyon County,6,0,3362,65
Mineral County,0,0,309,7
Nye County,2,0,3018,108
Pershing County,0,0,971,20
Storey County,0,0,118,3
Washoe County,17,0,46329,685
White Pine County,2,0,636,6
