county,avgcases,avgdeaths,cases,deaths
Bernalillo County,15,0,59131,966
Catron County,0,0,97,5
Chaves County,1,0,9073,171
Cibola County,2,0,2914,125
Colfax County,0,0,799,46
Curry County,1,0,5332,86
De Baca County,0,0,178,2
Doña Ana County,5,0,25121,492
Eddy County,2,0,6958,141
Grant County,1,0,1754,41
Guadalupe County,1,0,471,11
Harding County,0,0,13,1
Hidalgo County,0,0,367,9
Lea County,0,0,8449,197
Lincoln County,0,0,1765,19
Los Alamos County,0,0,538,7
Luna County,1,0,3382,92
McKinley County,2,0,12385,478
Mora County,0,0,175,7
Otero County,1,0,4074,81
Quay County,0,0,537,11
Rio Arriba County,4,0,3798,80
Roosevelt County,0,0,2032,59
San Juan County,7,0,15740,497
San Miguel County,1,0,1409,17
Sandoval County,3,0,12258,241
Santa Fe County,4,0,10621,151
Sierra County,0,0,779,52
Socorro County,0,0,1330,61
Taos County,2,0,1725,53
Torrance County,1,0,889,15
Union County,0,0,260,10
Valencia County,4,0,6925,119
