county,avgcases,avgdeaths,cases,deaths
Alamance County,4,0,19035,289
Alexander County,2,0,4456,84
Alleghany County,0,0,1095,5
Anson County,1,0,2637,56
Ashe County,0,0,2248,45
Avery County,0,0,2164,21
Beaufort County,3,0,4789,102
Bertie County,0,0,1794,45
Bladen County,6,1,3513,47
Brunswick County,1,0,9337,156
Buncombe County,2,0,18087,325
Burke County,2,0,10152,162
Cabarrus County,9,0,22378,262
Caldwell County,0,0,9525,111
Camden County,0,0,695,6
Carteret County,2,0,5261,55
Caswell County,1,0,2200,30
Catawba County,4,0,19814,311
Chatham County,1,0,4755,89
Cherokee County,1,0,2635,38
Chowan County,0,0,1488,34
Clay County,1,0,906,18
Cleveland County,3,0,11712,228
Columbus County,2,0,6461,152
Craven County,1,0,9470,126
Cumberland County,20,0,30324,322
Currituck County,0,0,1581,16
Dare County,1,0,2190,10
Davidson County,3,0,17034,197
Davie County,1,0,4179,40
Duplin County,3,0,6382,142
Durham County,9,0,25777,231
Edgecombe County,0,0,5703,113
Forsyth County,13,0,37028,422
Franklin County,0,0,7047,54
Gaston County,1,0,27187,441
Gates County,0,0,750,13
Graham County,1,0,666,13
Granville County,1,0,5991,83
Greene County,0,0,2418,47
Guilford County,17,0,48722,720
Halifax County,1,0,5687,114
Harnett County,5,0,12060,181
Haywood County,0,0,4496,99
Henderson County,0,0,10310,165
Hertford County,0,0,2116,64
Hoke County,2,0,4902,56
Hyde County,0,0,671,9
Iredell County,3,0,19279,236
Jackson County,-1,0,3661,56
Johnston County,6,0,22280,237
Jones County,0,0,899,28
Lee County,2,0,6155,82
Lenoir County,1,0,6269,124
Lincoln County,3,0,10286,86
Macon County,1,0,3167,41
Madison County,0,0,1602,42
Martin County,1,0,2325,45
McDowell County,-1,0,5291,63
Mecklenburg County,41,0,114680,975
Mitchell County,0,0,1479,16
Montgomery County,0,0,3383,97
Moore County,2,0,9062,194
Nash County,5,0,11709,197
New Hanover County,4,0,19557,175
Northampton County,-1,0,1894,61
Onslow County,10,0,17891,154
Orange County,2,0,8596,101
Pamlico County,0,0,1119,13
Pasquotank County,0,0,3443,84
Pender County,0,0,5557,71
Perquimans County,0,0,1037,12
Person County,2,0,3511,71
Pitt County,5,0,20504,96
Polk County,0,0,1501,30
Randolph County,2,0,15346,232
Richmond County,2,0,4818,98
Robeson County,8,0,16880,271
Rockingham County,2,1,8099,156
Rowan County,7,0,17248,311
Rutherford County,3,0,7448,217
Sampson County,4,0,8160,114
Scotland County,2,0,3908,88
Stanly County,-1,0,7931,138
Stokes County,0,0,4235,82
Surry County,1,0,8407,170
Swain County,0,0,1210,18
Transylvania County,0,0,2386,33
Tyrrell County,0,0,326,6
Union County,12,0,24933,225
Vance County,1,0,4995,90
Wake County,17,0,89562,737
Warren County,1,0,1819,20
Washington County,1,0,1140,32
Watauga County,3,0,5025,33
Wayne County,5,0,11492,245
Wilkes County,2,0,6952,118
Wilson County,8,0,9924,181
Yadkin County,0,0,4136,55
Yancey County,0,0,1640,28
