county,avgcases,avgdeaths,cases,deaths
Adams County,0,0,271,3
Barnes County,0,0,1422,31
Benson County,0,0,1104,19
Billings County,0,0,54,0
Bottineau County,0,0,724,20
Bowman County,0,0,406,5
Burke County,0,0,247,3
Burleigh County,2,0,16037,196
Cass County,2,0,24791,210
Cavalier County,0,0,432,5
Dickey County,0,0,800,33
Divide County,0,0,187,2
Dunn County,0,0,401,7
Eddy County,0,0,470,6
Emmons County,0,0,441,13
Foster County,0,0,600,19
Golden Valley County,0,0,261,3
Grand Forks County,1,0,10721,79
Grant County,0,0,211,7
Griggs County,0,0,330,2
Hettinger County,0,0,332,4
Kidder County,0,0,279,10
LaMoure County,0,0,537,17
Logan County,0,0,267,10
McHenry County,1,0,658,23
McIntosh County,0,0,354,7
McKenzie County,1,0,1462,14
McLean County,0,0,1293,31
Mercer County,0,0,1164,10
Morton County,1,0,5349,101
Mountrail County,0,0,1389,18
Nelson County,0,0,482,15
Oliver County,0,0,158,3
Pembina County,0,0,823,11
Pierce County,0,0,550,25
Ramsey County,0,0,1729,30
Ransom County,0,0,700,17
Renville County,0,0,322,14
Richland County,0,0,2027,17
Rolette County,0,0,2161,28
Sargent County,0,0,501,7
Sheridan County,0,0,122,2
Sioux County,0,0,665,12
Slope County,0,0,32,0
Stark County,1,0,4957,52
Steele County,0,0,195,2
Stutsman County,0,0,3545,81
Towner County,0,0,327,11
Traill County,0,0,1054,18
Walsh County,0,0,1913,27
Ward County,1,0,9970,200
Wells County,0,0,458,8
Williams County,1,0,5033,40
