county,avgcases,avgdeaths,cases,deaths
Adams County,1,0,2437,56
Allen County,2,1,11935,244
Ashland County,1,0,4368,97
Ashtabula County,4,0,7206,179
Athens County,1,0,5250,60
Auglaize County,1,0,5034,87
Belmont County,1,0,6165,177
Brown County,1,0,4033,61
Butler County,57,1,39517,610
Carroll County,1,0,1981,48
Champaign County,1,0,3455,60
Clark County,3,0,14264,306
Clermont County,4,0,20173,255
Clinton County,3,0,3815,66
Columbiana County,2,1,9053,234
Coshocton County,1,0,2701,60
Crawford County,2,0,4062,111
Cuyahoga County,27,3,116095,2234
Darke County,1,0,5427,129
Defiance County,0,0,4326,99
Delaware County,3,0,18923,137
Erie County,0,0,8062,165
Fairfield County,1,0,16600,204
Fayette County,1,0,2862,50
Franklin County,27,2,129199,1482
Fulton County,1,0,4327,75
Gallia County,1,0,2413,50
Geauga County,1,0,6863,153
Greene County,3,0,15320,249
Guernsey County,1,0,3262,54
Hamilton County,13,0,81533,1254
Hancock County,1,0,7010,134
Hardin County,1,0,2769,65
Harrison County,0,0,1143,38
Henry County,1,0,2742,67
Highland County,1,0,3607,66
Hocking County,0,0,2206,63
Holmes County,2,0,2714,102
Huron County,2,0,5572,122
Jackson County,1,0,3192,54
Jefferson County,0,0,5685,160
Knox County,1,0,4578,112
Lake County,3,0,21246,390
Lawrence County,2,0,5756,103
Licking County,3,0,16697,225
Logan County,1,0,3885,79
Lorain County,5,0,25728,506
Lucas County,9,0,43451,827
Madison County,1,0,4450,66
Mahoning County,4,0,22421,604
Marion County,1,0,8654,139
Medina County,4,0,15647,275
Meigs County,0,0,1488,40
Mercer County,0,0,4880,85
Miami County,2,0,10873,226
Monroe County,0,0,1364,45
Montgomery County,9,1,52658,1054
Morgan County,0,0,1102,24
Morrow County,1,0,2923,40
Muskingum County,2,0,8926,136
Noble County,0,0,1364,39
Ottawa County,0,0,3739,81
Paulding County,0,0,1769,42
Perry County,0,0,2974,50
Pickaway County,2,0,8680,122
Pike County,0,0,2428,36
Portage County,2,0,13270,216
Preble County,2,0,3879,106
Putnam County,0,0,4337,104
Richland County,2,0,11627,211
Ross County,1,0,6958,164
Sandusky County,0,0,5448,128
Scioto County,2,0,6561,107
Seneca County,0,0,5352,128
Shelby County,1,0,4778,95
Stark County,8,0,33423,932
Summit County,8,0,48520,1008
Trumbull County,4,0,16591,485
Tuscarawas County,2,0,8670,252
Union County,1,0,5856,49
Van Wert County,1,0,2478,65
Vinton County,0,0,863,17
Warren County,5,0,24655,306
Washington County,1,0,5329,110
Wayne County,3,0,9178,226
Williams County,1,0,3499,78
Wood County,1,0,13302,200
Wyandot County,0,0,2347,56
