county,avgcases,avgdeaths,cases,deaths
Adair County,3,0,3226,44
Alfalfa County,0,0,1155,7
Atoka County,1,0,1885,27
Beaver County,0,0,475,6
Beckham County,0,0,2902,58
Blaine County,0,0,1055,20
Bryan County,6,0,6219,79
Caddo County,1,0,3997,96
Canadian County,4,0,17461,187
Carter County,8,0,6337,129
Cherokee County,4,0,5711,79
Choctaw County,1,0,1633,27
Cimarron County,1,0,219,2
Cleveland County,9,0,31412,439
Coal County,1,0,705,15
Comanche County,21,0,14407,200
Cotton County,0,0,697,16
Craig County,4,0,2053,18
Creek County,3,0,7100,165
Custer County,0,0,4088,104
Delaware County,6,0,4780,96
Dewey County,0,0,553,14
Ellis County,0,0,357,6
Garfield County,0,0,7835,139
Garvin County,2,0,3640,79
Grady County,1,0,6001,130
Grant County,0,0,549,7
Greer County,0,0,584,22
Harmon County,0,0,327,6
Harper County,0,0,422,8
Haskell County,1,0,1267,17
Hughes County,0,0,1253,29
Jackson County,0,0,3133,56
Jefferson County,1,0,710,18
Johnston County,1,0,1385,37
Kay County,0,0,5350,128
Kingfisher County,0,0,2057,41
Kiowa County,0,0,821,26
Latimer County,0,0,844,13
Le Flore County,2,0,5680,67
Lincoln County,2,0,3281,72
Logan County,1,0,4319,65
Love County,1,0,1533,22
Major County,0,0,956,24
Marshall County,1,0,2060,23
Mayes County,2,0,4303,74
McClain County,2,0,5359,73
McCurtain County,1,0,4006,94
McIntosh County,1,0,2028,61
Murray County,1,0,2041,44
Muskogee County,4,0,9434,177
Noble County,0,0,1383,20
Nowata County,1,0,1170,20
Okfuskee County,1,0,1805,32
Oklahoma County,15,0,87823,1312
Okmulgee County,6,0,3908,85
Osage County,2,0,4812,80
Ottawa County,18,0,4231,70
Pawnee County,1,0,1801,53
Payne County,1,0,8724,76
Pittsburg County,2,0,4684,78
Pontotoc County,1,0,5181,80
Pottawatomie County,3,0,8430,131
Pushmataha County,1,0,1017,22
Roger Mills County,0,0,390,12
Rogers County,7,0,10717,195
Seminole County,1,0,2889,78
Sequoyah County,2,0,4213,56
Stephens County,2,0,4924,106
Texas County,1,0,3544,34
Tillman County,0,0,807,17
Tulsa County,44,0,76351,1126
Wagoner County,4,0,8290,123
Washington County,4,0,5309,119
Washita County,0,0,1089,23
Woods County,0,0,1220,18
Woodward County,0,0,3173,36
