county,avgcases,avgdeaths,cases,deaths
Baker County,1,0,1038,15
Benton County,1,0,3284,22
Clackamas County,17,0,19097,235
Clatsop County,2,0,1075,9
Columbia County,3,0,1951,30
Coos County,2,0,2190,39
Crook County,1,0,1305,23
Curry County,2,0,745,12
Deschutes County,8,0,10112,82
Douglas County,9,0,3978,83
Gilliam County,0,0,81,1
Grant County,0,0,552,7
Harney County,0,0,438,11
Hood River County,1,0,1229,33
Jackson County,10,0,11650,148
Jefferson County,3,0,2396,41
Josephine County,4,0,3665,72
Klamath County,3,0,4804,78
Lake County,0,0,472,8
Lane County,16,0,14059,168
Lincoln County,3,0,1458,21
Linn County,15,0,5755,81
Malheur County,0,0,3622,64
Marion County,18,0,23621,325
Morrow County,1,0,1166,16
Multnomah County,22,0,40597,615
Polk County,5,0,4055,56
Sherman County,0,0,70,1
Tillamook County,2,0,677,4
Umatilla County,10,0,8700,87
Union County,2,0,1517,24
Wallowa County,0,0,196,5
Wasco County,0,0,1459,30
Washington County,16,0,26963,252
Wheeler County,0,0,35,1
Yamhill County,4,0,4822,79
