county,avgcases,avgdeaths,cases,deaths
Aurora County,0,0,475,15
Beadle County,0,0,2965,40
Bennett County,0,0,392,9
Bon Homme County,0,0,1554,28
Brookings County,0,0,4236,37
Brown County,1,0,5645,95
Brule County,0,0,719,10
Buffalo County,0,0,427,14
Butte County,0,0,1091,20
Campbell County,0,0,132,4
Charles Mix County,1,0,1391,22
Clark County,0,0,464,5
Clay County,0,0,1933,15
Codington County,0,0,4656,83
Corson County,0,0,484,12
Custer County,0,0,880,13
Davison County,1,0,3252,67
Day County,0,0,712,29
Deuel County,0,0,533,9
Dewey County,0,0,1479,29
Douglas County,0,0,455,9
Edmunds County,0,0,516,14
Fall River County,0,0,606,16
Faulk County,0,0,372,13
Grant County,0,0,1057,42
Gregory County,0,0,588,30
Haakon County,0,0,266,10
Hamlin County,0,0,802,39
Hand County,0,0,365,6
Hanson County,0,0,392,4
Harding County,0,0,97,1
Hughes County,0,0,2526,42
Hutchinson County,0,0,920,28
Hyde County,0,0,140,1
Jackson County,0,0,290,14
Jerauld County,0,0,281,16
Jones County,0,0,96,0
Kingsbury County,0,0,819,18
Lake County,0,0,1390,20
Lawrence County,1,0,3017,48
Lincoln County,0,0,8722,78
Lyman County,0,0,659,11
Marshall County,0,0,375,6
McCook County,0,0,814,25
McPherson County,0,0,247,4
Meade County,1,0,2801,31
Mellette County,0,0,260,2
Miner County,0,0,307,10
Minnehaha County,0,0,31762,366
Moody County,0,0,667,20
Oglala Lakota County,0,0,2118,50
Pennington County,3,0,13944,205
Perkins County,0,0,359,14
Potter County,0,0,391,4
Roberts County,1,0,1396,42
Sanborn County,0,0,347,3
Spink County,0,0,848,26
Stanley County,0,0,355,2
Sully County,0,0,145,3
Todd County,0,0,1235,33
Tripp County,0,0,757,17
Turner County,0,0,1182,58
Union County,0,0,2228,43
Walworth County,0,0,772,15
Yankton County,0,0,3114,34
Ziebach County,0,0,341,9
