county,avgcases,avgdeaths,cases,deaths
Anderson County,1,0,8819,175
Bedford County,2,0,6722,131
Benton County,0,0,1688,41
Bledsoe County,1,0,2220,11
Blount County,7,0,15948,198
Bradley County,0,0,15299,154
Campbell County,0,0,4197,62
Cannon County,0,0,1941,32
Carroll County,1,0,3713,83
Carter County,2,0,6765,159
Cheatham County,0,0,4670,56
Chester County,1,0,2204,51
Claiborne County,1,0,3231,74
Clay County,0,0,1121,30
Cocke County,0,0,4546,100
Coffee County,0,0,6983,123
Crockett County,0,0,2061,50
Cumberland County,-1,0,6883,140
Davidson County,-16,0,90363,951
DeKalb County,0,0,2873,56
Decatur County,0,0,1622,39
Dickson County,1,0,7102,115
Dyer County,0,0,5526,108
Fayette County,0,0,5209,83
Fentress County,0,0,2520,49
Franklin County,0,0,5230,92
Gibson County,1,0,6670,150
Giles County,0,0,4049,100
Grainger County,1,0,2678,50
Greene County,2,0,8043,159
Grundy County,0,0,1804,35
Hamblen County,1,0,8683,173
Hamilton County,9,0,45446,508
Hancock County,0,0,620,13
Hardeman County,0,0,3546,64
Hardin County,0,0,3610,69
Hawkins County,1,0,6333,113
Haywood County,0,0,2716,62
Henderson County,-1,0,3865,79
Henry County,0,0,3402,76
Hickman County,0,0,2894,47
Houston County,0,0,1122,34
Humphreys County,0,0,1942,32
Jackson County,0,0,1368,37
Jefferson County,0,0,6331,126
Johnson County,0,0,2447,39
Knox County,6,0,52157,649
Lake County,0,0,1728,30
Lauderdale County,0,0,3268,50
Lawrence County,1,0,6104,94
Lewis County,0,0,1625,26
Lincoln County,1,0,4407,67
Loudon County,1,0,6240,71
Macon County,0,0,3670,78
Madison County,3,0,11589,244
Marion County,5,0,3267,49
Marshall County,3,0,4335,61
Maury County,2,0,13748,177
McMinn County,0,0,6665,103
McNairy County,0,0,2880,55
Meigs County,0,0,1429,24
Monroe County,1,0,5986,97
Montgomery County,7,0,21057,234
Moore County,0,0,1033,17
Morgan County,0,0,2554,37
Obion County,0,0,4623,97
Overton County,0,0,3091,62
Perry County,0,0,1071,29
Pickett County,0,0,773,24
Polk County,0,0,2112,24
Putnam County,-1,0,11842,179
Rhea County,0,0,4386,82
Roane County,0,0,6376,108
Robertson County,1,0,9966,141
Rutherford County,0,0,43717,448
Scott County,0,0,3225,48
Sequatchie County,1,0,1761,29
Sevier County,3,0,13595,177
Shelby County,26,1,98730,1680
Smith County,0,0,2810,40
Stewart County,1,0,1379,28
Sullivan County,4,0,17346,311
Sumner County,4,0,24536,356
Tipton County,0,0,7469,104
Trousdale County,0,0,2534,21
Unicoi County,0,0,2069,50
Union County,0,0,1956,34
Van Buren County,0,0,872,23
Warren County,0,0,5601,84
Washington County,2,0,14862,254
Wayne County,1,0,3003,36
Weakley County,0,0,4239,69
White County,0,0,3793,73
Williamson County,6,0,28659,218
Wilson County,3,0,19390,250
