county,avgcases,avgdeaths,cases,deaths
Anderson County,0,0,6239,133
Andrews County,0,0,1840,47
Angelina County,0,0,8705,287
Aransas County,2,0,1294,41
Archer County,0,0,812,12
Armstrong County,0,0,208,6
Atascosa County,1,0,5830,151
Austin County,1,0,2229,37
Bailey County,0,0,864,19
Bandera County,1,0,1447,28
Bastrop County,9,0,9785,101
Baylor County,0,0,300,13
Bee County,2,0,3543,75
Bell County,10,0,25033,446
Bexar County,153,2,227474,3628
Blanco County,1,0,776,21
Borden County,0,0,30,2
Bosque County,0,0,1695,36
Bowie County,44,0,7742,225
Brazoria County,21,0,38778,533
Brazos County,14,0,28014,260
Brewster County,0,0,937,17
Briscoe County,0,0,169,6
Brooks County,1,0,859,36
Brown County,1,0,4361,121
Burleson County,3,0,2487,48
Burnet County,7,0,4914,67
Caldwell County,4,0,5786,100
Calhoun County,2,0,2476,25
Callahan County,0,0,1214,41
Cameron County,37,1,42281,1527
Camp County,4,0,1326,44
Carson County,1,0,603,14
Cass County,17,0,2168,84
Castro County,0,0,1069,32
Chambers County,4,0,5249,29
Cherokee County,1,0,4307,145
Childress County,-1,0,1378,17
Clay County,0,0,1041,16
Cochran County,0,0,334,15
Coke County,0,0,469,13
Coleman County,0,0,757,34
Collin County,39,0,92943,845
Collingsworth County,0,0,331,9
Colorado County,1,0,1764,32
Comal County,19,0,11339,306
Comanche County,0,0,1568,51
Concho County,2,0,489,8
Cooke County,1,0,3805,72
Coryell County,1,0,7362,88
Cottle County,0,0,190,7
Crane County,0,0,543,12
Crockett County,0,0,595,15
Crosby County,1,0,759,29
Culberson County,0,0,367,11
Dallam County,0,0,987,26
Dallas County,96,2,306417,4126
Dawson County,0,0,1742,69
DeWitt County,1,0,1991,61
Deaf Smith County,1,0,2952,68
Delta County,0,0,351,12
Denton County,32,0,77057,778
Dickens County,0,0,188,10
Dimmit County,19,0,2565,37
Donley County,0,0,424,15
Duval County,0,0,1274,42
Eastland County,0,0,1368,50
Ector County,8,0,17566,379
Edwards County,0,0,248,6
El Paso County,19,1,136643,2739
Ellis County,-20,0,23156,323
Erath County,2,0,4257,70
Falls County,0,0,2103,32
Fannin County,0,0,3475,109
Fayette County,1,0,2774,68
Fisher County,0,0,306,14
Floyd County,0,0,900,30
Foard County,0,0,124,10
Fort Bend County,30,1,70010,703
Franklin County,4,0,814,26
Freestone County,1,0,1982,50
Frio County,6,0,2880,52
Gaines County,1,0,1468,45
Galveston County,19,0,41104,445
Garza County,0,0,559,22
Gillespie County,1,0,2591,52
Glasscock County,0,0,104,2
Goliad County,0,0,481,15
Gonzales County,1,0,2744,58
Gray County,0,0,2542,57
Grayson County,0,0,11374,346
Gregg County,7,0,11464,360
Grimes County,3,0,3821,74
Guadalupe County,23,0,15613,222
Hale County,1,0,6187,156
Hall County,0,0,497,14
Hamilton County,1,0,798,27
Hansford County,0,0,943,24
Hardeman County,0,0,387,12
Hardin County,7,0,6097,115
Harris County,-1,4,403019,6589
Harrison County,41,0,5459,112
Hartley County,0,0,660,2
Haskell County,0,0,460,27
Hays County,15,0,21220,225
Hemphill County,0,0,586,3
Henderson County,3,0,6060,194
Hidalgo County,90,1,91206,2614
Hill County,1,0,4567,110
Hockley County,1,0,3130,104
Hood County,3,0,6650,134
Hopkins County,26,0,3450,114
Houston County,21,0,1935,58
Howard County,1,0,4707,102
Hudspeth County,0,0,541,12
Hunt County,4,0,6256,179
Hutchinson County,2,0,2424,72
Irion County,0,0,129,1
Jack County,0,0,587,16
Jackson County,1,0,1868,31
Jasper County,1,0,2544,93
Jeff Davis County,0,0,195,5
Jefferson County,12,0,20437,442
Jim Hogg County,0,0,621,16
Jim Wells County,3,0,4414,108
Johnson County,6,0,20162,376
Jones County,2,0,2611,55
Karnes County,5,0,2341,37
Kaufman County,5,0,16534,266
Kendall County,3,0,3349,72
Kenedy County,0,0,39,2
Kent County,0,0,106,2
Kerr County,3,0,4605,92
Kimble County,0,0,295,7
King County,0,0,11,0
Kinney County,0,0,347,6
Kleberg County,1,0,2695,94
Knox County,0,0,263,17
La Salle County,0,0,997,30
Lamar County,2,0,5959,157
Lamb County,0,0,2490,83
Lampasas County,1,0,2219,33
Lavaca County,1,0,2497,76
Lee County,2,0,2240,39
Leon County,0,0,1653,43
Liberty County,10,0,8187,196
Limestone County,1,0,2830,80
Lipscomb County,0,0,350,12
Live Oak County,0,0,1138,22
Llano County,2,0,1708,53
Loving County,0,0,2,0
Lubbock County,7,0,49516,798
Lynn County,0,0,628,24
Madison County,2,0,1991,30
Marion County,6,0,617,33
Martin County,0,0,652,19
Mason County,0,0,422,6
Matagorda County,2,0,4281,114
Maverick County,3,0,10828,361
McCulloch County,0,0,591,20
McLennan County,0,0,27716,479
McMullen County,0,0,85,5
Medina County,7,0,4673,107
Menard County,0,0,213,9
Midland County,3,0,17815,274
Milam County,1,0,2584,49
Mills County,0,0,659,21
Mitchell County,0,0,609,31
Montague County,1,0,2129,73
Montgomery County,24,0,55571,602
Moore County,1,0,2766,73
Morris County,3,0,949,34
Motley County,0,0,118,8
Nacogdoches County,49,0,5202,174
Navarro County,2,0,5942,146
Newton County,0,0,640,38
Nolan County,0,0,1548,52
Nueces County,14,0,40096,718
Ochiltree County,1,0,1206,27
Oldham County,0,0,289,4
Orange County,5,0,8837,154
Palo Pinto County,2,0,2951,76
Panola County,16,0,1856,76
Parker County,15,0,16252,189
Parmer County,0,0,1330,35
Pecos County,0,0,1690,35
Polk County,0,0,3417,120
Potter County,7,0,17676,392
Presidio County,0,0,820,25
Rains County,0,0,816,27
Randall County,8,0,17083,292
Reagan County,0,0,387,8
Real County,0,0,310,13
Red River County,10,0,803,38
Reeves County,15,0,2195,44
Refugio County,0,0,686,23
Roberts County,0,0,63,1
Robertson County,2,0,2235,47
Rockwall County,4,0,11861,158
Runnels County,0,0,1308,39
Rusk County,27,0,4436,109
Sabine County,0,0,525,45
San Augustine County,0,0,587,32
San Jacinto County,1,0,1461,39
San Patricio County,2,0,4516,152
San Saba County,0,0,779,23
Schleicher County,0,0,243,6
Scurry County,0,0,2429,62
Shackelford County,0,0,276,5
Shelby County,24,0,1954,71
Sherman County,0,0,235,12
Smith County,10,0,20731,487
Somervell County,1,0,1089,14
Starr County,1,0,9565,304
Stephens County,0,0,802,25
Sterling County,0,0,109,4
Stonewall County,0,0,157,6
Sutton County,0,0,475,8
Swisher County,0,0,892,18
Tarrant County,102,1,263503,3119
Taylor County,4,0,15940,415
Terrell County,0,0,74,2
Terry County,0,0,1702,57
Throckmorton County,0,0,73,5
Titus County,35,0,4150,84
Tom Green County,1,0,13075,272
Travis County,31,0,84728,1038
Trinity County,1,0,860,29
Tyler County,0,0,1337,42
Upshur County,9,0,3529,77
Upton County,0,0,375,10
Uvalde County,5,0,3650,73
Val Verde County,2,0,7974,223
Van Zandt County,3,0,4467,122
Victoria County,4,1,9290,227
Walker County,-5,0,8704,133
Waller County,4,0,4216,51
Ward County,0,0,1217,24
Washington County,6,0,4284,94
Webb County,0,0,46808,799
Wharton County,2,0,4283,117
Wheeler County,0,0,573,12
Wichita County,3,0,15219,381
Wilbarger County,0,0,1933,55
Willacy County,4,0,3173,91
Williamson County,18,0,47141,483
Wilson County,5,0,4698,69
Winkler County,0,0,783,21
Wise County,5,0,7543,127
Wood County,2,0,3512,129
Yoakum County,0,0,877,28
Young County,1,0,2195,45
Zapata County,1,0,1802,36
Zavala County,2,0,1883,41
