county,avgcases,avgdeaths,cases,deaths
Beaver County,0,0,754,7
Box Elder County,6,0,5654,59
Cache County,13,0,16559,51
Carbon County,6,0,1765,17
Daggett County,0,0,37,0
Davis County,43,1,39886,182
Duchesne County,0,0,1217,9
Emery County,1,0,964,10
Garfield County,0,0,466,10
Grand County,1,0,1064,4
Iron County,0,0,5374,32
Juab County,2,0,1337,12
Kane County,0,0,647,5
Millard County,3,0,1484,14
Morgan County,1,0,1299,11
Piute County,0,0,101,2
Rich County,0,0,152,0
Salt Lake County,116,3,153949,917
San Juan County,2,0,1938,37
Sanpete County,3,0,3918,27
Sevier County,2,0,2254,15
Summit County,3,0,5647,14
Tooele County,12,0,7692,45
Uintah County,0,0,1757,18
Utah County,75,0,98885,406
Wasatch County,3,0,4738,22
Washington County,0,0,20522,204
Wayne County,0,0,135,0
Weber County,42,0,30724,214
