county,avgcases,avgdeaths,cases,deaths
Barbour County,0,0,1514,32
Berkeley County,2,0,12842,132
Boone County,1,0,2179,36
Braxton County,1,0,1018,5
Brooke County,0,0,2247,60
Cabell County,2,0,8887,178
Calhoun County,0,0,390,1
Clay County,0,0,543,11
Doddridge County,-1,0,644,6
Fayette County,1,0,3555,80
Gilmer County,1,0,885,6
Grant County,1,0,1316,28
Greenbrier County,1,0,2897,64
Hampshire County,1,0,1926,36
Hancock County,0,0,2844,89
Hardy County,2,0,1583,24
Harrison County,2,0,6193,81
Jackson County,2,0,2258,61
Jefferson County,1,0,4800,59
Kanawha County,3,0,15497,357
Lewis County,1,0,1289,22
Lincoln County,1,0,1607,24
Logan County,2,0,3297,96
Marion County,2,0,4655,52
Marshall County,0,0,3538,79
Mason County,1,0,2064,37
McDowell County,0,0,1616,26
Mercer County,5,1,5186,126
Mineral County,1,0,2981,92
Mingo County,1,0,2763,43
Monongalia County,1,0,9398,90
Monroe County,1,0,1223,17
Morgan County,0,0,1226,23
Nicholas County,0,0,1905,22
Ohio County,1,0,4314,87
Pendleton County,0,0,725,11
Pleasants County,0,0,959,12
Pocahontas County,0,0,681,12
Preston County,0,0,2959,46
Putnam County,1,0,5329,93
Raleigh County,1,0,7093,98
Randolph County,0,0,2854,15
Ritchie County,1,0,762,11
Roane County,1,0,665,9
Summers County,0,0,864,22
Taylor County,1,0,1281,25
Tucker County,0,0,547,10
Tyler County,1,0,748,13
Upshur County,1,0,1970,34
Wayne County,0,0,3180,44
Webster County,0,0,546,8
Wetzel County,1,0,1391,32
Wirt County,0,0,457,4
Wood County,1,0,7949,176
Wyoming County,2,0,2057,40
