county,avgcases,avgdeaths,cases,deaths
Albany County,5,0,4645,17
Big Horn County,1,0,1204,35
Campbell County,3,0,5190,60
Carbon County,1,0,1631,24
Converse County,0,0,1037,18
Crook County,0,0,459,13
Fremont County,1,0,5302,87
Goshen County,1,0,1244,24
Hot Springs County,0,0,372,3
Johnson County,1,0,745,10
Laramie County,40,0,10533,121
Lincoln County,1,0,1431,14
Natrona County,6,0,8259,140
Niobrara County,0,0,163,2
Park County,0,0,2904,32
Platte County,0,0,682,13
Sheridan County,1,0,3270,31
Sublette County,0,0,797,7
Sweetwater County,8,0,4780,40
Teton County,0,0,3801,11
Uinta County,2,0,2320,13
Washakie County,0,0,926,26
Weston County,0,0,658,6
